,JKT,BDG,SMG,YGY,SBY,MDN,PDG,PLB,PKU,JBI
JKT,0.0,117.0,405.0,427.0,661.0,0.0,922.0,424.0,956.0,623.0
BDG,117.0,0.0,311.0,319.0,568.0,0.0,0.0,540.0,0.0,739.0
SMG,405.0,311.0,0.0,88.0,257.0,0.0,0.0,771.0,0.0,965.0
YGY,427.0,319.0,88.0,0.0,269.0,0.0,0.0,819.0,0.0,0.0
SBY,661.0,568.0,257.0,269.0,0.0,0.0,0.0,0.0,0.0,0.0
MDN,0.0,0.0,0.0,0.0,0.0,0.0,541.0,997.0,462.0,798.0
PDG,922.0,0.0,0.0,0.0,0.0,541.0,0.0,534.0,198.0,363.0
PLB,424.0,540.0,771.0,819.0,0.0,997.0,534.0,0.0,536.0,199.0
PKU,956.0,0.0,0.0,0.0,0.0,462.0,198.0,536.0,0.0,337.0
JBI,623.0,739.0,965.0,0.0,0.0,798.0,363.0,199.0,337.0,0.0
