From,To,Distance
JKT,BDG,116
JKT,SBY,663
JKT,PTK,747
JKT,PLB,426
JKT,PDG,922
JKT,BJM,916
JKT,DPS,962
JKT,YGY,427
JKT,SMG,403
JKT,PKU,957
JKT,JBI,625
JKT,SRG,77
JKT,CRB,197
JKT,MGL,398
JKT,BKL,574
JKT,TJP,836
JKT,SKW,826
JKT,PGK,461
JKT,PMK,740
BDG,JKT,116
BDG,SBY,568
BDG,PTK,795
BDG,PLB,540
BDG,BJM,870
BDG,DPS,859
BDG,MTR,954
BDG,YGY,319
BDG,SMG,309
BDG,JBI,739
BDG,SRG,185
BDG,CRB,106
BDG,MGL,293
BDG,BKL,687
BDG,TJP,939
BDG,SKW,883
BDG,PGK,558
BDG,PMK,647
SBY,JKT,663
SBY,BDG,568
SBY,MKS,775
SBY,PTK,894
SBY,SMD,896
SBY,BJM,483
SBY,BPN,805
SBY,DPS,312
SBY,MTR,399
SBY,YGY,269
SBY,SMG,260
SBY,SRG,740
SBY,CRB,467
SBY,MGL,280
SBY,WGP,868
SBY,SKW,1000
SBY,PGK,931
SBY,END,997
SBY,PLO,951
SBY,PMK,80
SBY,LBJ,798
MDN,PLB,997
MDN,PDG,541
MDN,PKU,462
MDN,JBI,798
MDN,LHS,245
MDN,ACE,430
MDN,BKL,914
MDN,TJP,708
MDN,GNS,282
MDN,SBG,451
MDN,TBT,62
MDN,SBL,207
MKS,SBY,775
MKS,MDO,950
MKS,SMD,575
MKS,AMB,985
MKS,KPG,724
MKS,BJM,574
MKS,BPN,519
MKS,DPS,607
MKS,MTR,529
MKS,PLU,476
MKS,GTO,750
MKS,KDI,365
MKS,TRK,965
MKS,BTG,973
MKS,WGP,510
MKS,BAU,354
MKS,END,479
MKS,PLO,254
MKS,PMK,696
MKS,LBJ,376
MDO,MKS,950
MDO,SMD,883
MDO,AMB,681
MDO,BPN,941
MDO,TRN,293
MDO,PLU,612
MDO,GTO,224
MDO,KDI,659
MDO,SRG,759
MDO,TRK,833
MDO,BTG,39
