,JKT,BDG,SBY,MDN,MKS,MDO,JYP,PTK,SMD,AMB,KPG,PLB,PDG,BJM,BPN,DPS,MTR,TRN,PLU,GTO,YGY,SMG,PKU,JBI,KDI,MNK,SRG,TRK,BTG,LHS,ACE,SRG,CRB,MGL,BKL,TUL,WGP,TJP,SKW,BAU,PGK,GNS,SBG,END,TBT,PLO,PMK,LBJ,SBL
JKT,0.0,116.0,663.0,0.0,0.0,0.0,0.0,747.0,0.0,0.0,0.0,426.0,922.0,916.0,0.0,962.0,0.0,0.0,0.0,0.0,427.0,403.0,957.0,625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,197.0,398.0,574.0,0.0,0.0,836.0,826.0,0.0,461.0,0.0,0.0,0.0,0.0,0.0,740.0,0.0,0.0
BDG,116.0,0.0,568.0,0.0,0.0,0.0,0.0,795.0,0.0,0.0,0.0,540.0,0.0,870.0,0.0,859.0,954.0,0.0,0.0,0.0,319.0,309.0,0.0,739.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,106.0,293.0,687.0,0.0,0.0,939.0,883.0,0.0,558.0,0.0,0.0,0.0,0.0,0.0,647.0,0.0,0.0
SBY,663.0,568.0,0.0,0.0,775.0,0.0,0.0,894.0,896.0,0.0,0.0,0.0,0.0,483.0,805.0,312.0,399.0,0.0,0.0,0.0,269.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,740.0,467.0,280.0,0.0,0.0,868.0,0.0,1000.0,0.0,931.0,0.0,0.0,997.0,0.0,951.0,80.0,798.0,0.0
MDN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,997.0,541.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,462.0,798.0,0.0,0.0,0.0,0.0,0.0,245.0,430.0,0.0,0.0,0.0,914.0,0.0,0.0,708.0,0.0,0.0,0.0,282.0,451.0,0.0,62.0,0.0,0.0,0.0,207.0
MKS,0.0,0.0,775.0,0.0,0.0,950.0,0.0,0.0,575.0,985.0,724.0,0.0,0.0,574.0,519.0,607.0,529.0,0.0,476.0,750.0,0.0,0.0,0.0,0.0,365.0,0.0,0.0,965.0,973.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510.0,0.0,0.0,354.0,0.0,0.0,0.0,479.0,0.0,254.0,696.0,376.0,0.0
MDO,0.0,0.0,0.0,0.0,950.0,0.0,0.0,0.0,883.0,681.0,0.0,0.0,0.0,0.0,941.0,0.0,0.0,293.0,612.0,224.0,0.0,0.0,0.0,0.0,659.0,0.0,759.0,833.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,811.0,0.0,0.0,0.0,0.0,0.0,717.0,0.0,0.0,0.0
JYP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,761.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,949.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PTK,747.0,795.0,894.0,0.0,0.0,0.0,0.0,0.0,871.0,0.0,0.0,610.0,998.0,692.0,845.0,0.0,0.0,0.0,0.0,0.0,877.0,787.0,879.0,662.0,0.0,0.0,0.0,986.0,0.0,0.0,0.0,770.0,754.0,839.0,894.0,0.0,0.0,553.0,106.0,0.0,432.0,0.0,0.0,0.0,0.0,0.0,921.0,0.0,0.0
SMD,0.0,0.0,896.0,0.0,575.0,883.0,0.0,871.0,0.0,0.0,0.0,0.0,0.0,423.0,92.0,931.0,906.0,0.0,305.0,667.0,0.0,0.0,0.0,0.0,709.0,0.0,0.0,428.0,919.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,922.0,820.0,0.0,0.0,0.0,0.0,0.0,437.0,845.0,939.0,0.0
AMB,0.0,0.0,0.0,0.0,985.0,681.0,0.0,0.0,0.0,0.0,884.0,0.0,0.0,0.0,0.0,0.0,0.0,502.0,974.0,737.0,0.0,0.0,0.0,0.0,631.0,724.0,459.0,0.0,658.0,0.0,0.0,0.0,0.0,0.0,0.0,551.0,0.0,0.0,0.0,650.0,0.0,0.0,0.0,924.0,0.0,890.0,0.0,0.0,0.0
KPG,0.0,0.0,0.0,0.0,724.0,0.0,0.0,0.0,0.0,884.0,0.0,0.0,0.0,0.0,0.0,936.0,841.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371.0,0.0,0.0,535.0,0.0,0.0,0.0,260.0,0.0,883.0,0.0,449.0,0.0
PLB,426.0,540.0,0.0,997.0,0.0,0.0,0.0,610.0,0.0,0.0,0.0,0.0,533.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,819.0,767.0,535.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,381.0,590.0,783.0,291.0,0.0,0.0,436.0,639.0,0.0,179.0,926.0,0.0,0.0,939.0,0.0,0.0,0.0,848.0
PDG,922.0,0.0,0.0,541.0,0.0,0.0,0.0,998.0,0.0,0.0,0.0,533.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.0,363.0,0.0,0.0,0.0,0.0,0.0,773.0,917.0,858.0,0.0,0.0,378.0,0.0,0.0,494.0,975.0,0.0,647.0,399.0,948.0,0.0,496.0,0.0,0.0,0.0,350.0
BJM,916.0,870.0,483.0,0.0,574.0,0.0,0.0,692.0,423.0,0.0,0.0,0.0,0.0,0.0,338.0,597.0,609.0,0.0,646.0,0.0,683.0,615.0,0.0,0.0,882.0,0.0,0.0,810.0,0.0,0.0,0.0,986.0,767.0,669.0,0.0,0.0,943.0,0.0,781.0,921.0,951.0,0.0,0.0,994.0,0.0,623.0,444.0,821.0,0.0
BPN,0.0,0.0,805.0,0.0,519.0,941.0,0.0,845.0,92.0,0.0,0.0,0.0,0.0,338.0,0.0,840.0,818.0,0.0,340.0,721.0,0.0,953.0,0.0,0.0,699.0,0.0,0.0,517.0,977.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,905.0,794.0,0.0,0.0,0.0,998.0,0.0,420.0,753.0,872.0,0.0
